Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
Rest of State,Total,Total,Orange,Non Strata,450,535,671,594,207,5.42%,20.90%,-26.07%,30.19%
Rest of State,Total,Total,Orange,Strata,279,345,395,345,s,31.68%,22.78%,-17.39%,137.50%
Rest of State,Total,Total,Parkes,Total,219,254,388,292,82,-16.99%,-16.72%,10.81%,74.47%
Rest of State,Total,Total,Parkes,Non Strata,219,254,388,292,82,-16.99%,-16.72%,10.81%,74.47%
Rest of State,Total,Total,Port Macquarie-Hastings,Total,489,609,750,632,478,7.70%,12.89%,-15.25%,27.13%
Rest of State,Total,Total,Port Macquarie-Hastings,Non Strata,560,659,795,689,345,4.60%,15.36%,-13.32%,21.48%
Rest of State,Total,Total,Port Macquarie-Hastings,Strata,395,455,558,482,133,4.12%,5.08%,-19.88%,44.57%
Rest of State,Total,Total,Queanbeyan-Palerang Regional,Total,469,645,814,675,263,5.74%,10.16%,-32.22%,5.20%
Rest of State,Total,Total,Queanbeyan-Palerang Regional,Non Strata,635,742,911,798,181,2.49%,8.80%,-34.42%,0.00%
Rest of State,Total,Total,Queanbeyan-Palerang Regional,Strata,305,392,500,405,82,-2.00%,12.00%,-26.79%,18.84%
Rest of State,Total,Total,Richmond Valley,Total,325,395,545,441,112,11.27%,14.49%,-17.65%,19.15%
Rest of State,Total,Total,Richmond Valley,Non Strata,335,395,553,449,103,8.52%,19.70%,-11.21%,27.16%
Rest of State,Total,Total,Richmond Valley,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Total,Shoalhaven,Total,550,690,875,761,789,9.52%,25.23%,-2.35%,68.95%
Rest of State,Total,Total,Shoalhaven,Non Strata,560,700,895,781,721,7.69%,22.81%,-0.41%,70.05%
Rest of State,Total,Total,Shoalhaven,Strata,399,533,686,546,68,9.79%,14.27%,-19.05%,58.14%
Rest of State,Total,Total,Singleton,Total,380,449,567,498,157,0.90%,6.27%,16.30%,55.45%
Rest of State,Total,Total,Singleton,Non Strata,393,470,623,522,139,1.08%,5.62%,15.83%,59.77%
Rest of State,Total,Total,Singleton,Strata,249,322,357,314,s,26.18%,22.34%,20.00%,28.57%
Rest of State,Total,Total,Snowy Monaro Regional,Total,353,460,605,515,119,12.33%,37.31%,-9.85%,40.00%
Rest of State,Total,Total,Snowy Monaro Regional,Non Strata,345,450,675,524,97,11.11%,40.63%,-10.19%,44.78%
Rest of State,Total,Total,Snowy Monaro Regional,Strata,388,475,558,472,s,4.98%,28.50%,-8.33%,22.22%
Rest of State,Total,Total,Snowy Valleys,Total,222,288,360,301,104,4.55%,2.77%,2.97%,126.09%
Rest of State,Total,Total,Snowy Valleys,Non Strata,221,290,360,302,103,1.65%,9.02%,7.29%,145.24%
Rest of State,Total,Total,Snowy Valleys,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Total,Tamworth Regional,Total,293,375,493,408,351,2.74%,4.90%,-5.65%,82.81%
Rest of State,Total,Total,Tamworth Regional,Non Strata,305,380,500,417,327,0.93%,4.11%,-5.49%,81.67%
Rest of State,Total,Total,Tamworth Regional,Strata,208,239,319,284,s,-19.12%,-24.74%,-7.69%,100.00%
Rest of State,Total,Total,Temora,Total,225,315,375,303,37,9.76%,1.94%,27.59%,85.00%
Rest of State,Total,Total,Temora,Non Strata,225,315,375,303,37,9.76%,1.94%,27.59%,85.00%
Rest of State,Total,Total,Tenterfield,Total,239,290,388,309,42,4.69%,11.54%,-4.55%,90.91%
Rest of State,Total,Total,Tenterfield,Non Strata,250,290,390,312,41,4.69%,11.54%,-6.82%,86.36%
Rest of State,Total,Total,Tenterfield,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Total,Tweed,Total,525,700,910,753,648,5.26%,16.67%,-12.20%,43.36%
Rest of State,Total,Total,Tweed,Non Strata,704,863,1070,936,352,12.97%,25.91%,-21.78%,40.80%
Rest of State,Total,Total,Tweed,Strata,409,514,666,536,296,0.49%,12.30%,2.78%,46.53%
Rest of State,Total,Total,Upper Hunter Shire,Total,285,350,418,352,89,-5.41%,-5.41%,-6.32%,128.21%
Rest of State,Total,Total,Upper Hunter Shire,Non Strata,287,350,419,354,87,-10.26%,-6.04%,-2.25%,128.95%
Rest of State,Total,Total,Upper Hunter Shire,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Total,Upper Lachlan Shire,Total,345,515,676,531,s,15.73%,33.77%,-34.15%,68.75%
Rest of State,Total,Total,Upper Lachlan Shire,Non Strata,345,515,676,531,s,15.73%,33.77%,-34.15%,68.75%
Rest of State,Total,Total,Uralla,Total,254,375,434,360,36,-12.69%,4.02%,28.57%,80.00%
Rest of State,Total,Total,Uralla,Non Strata,254,375,434,360,36,-12.69%,4.02%,28.57%,80.00%
Rest of State,Total,Total,Wagga Wagga,Total,315,398,503,415,364,3.43%,10.72%,-14.55%,25.95%
Rest of State,Total,Total,Wagga Wagga,Non Strata,335,411,515,433,329,3.01%,11.08%,-16.07%,25.10%
Rest of State,Total,Total,Wagga Wagga,Strata,186,242,282,242,35,7.92%,-10.95%,2.94%,34.62%
Rest of State,Total,Total,Walcha,Total,190,230,326,275,s,-41.21%,-23.33%,-25.00%,140.00%
Rest of State,Total,Total,Walcha,Non Strata,190,230,326,275,s,-41.21%,-23.33%,-25.00%,140.00%
Rest of State,Total,Total,Walgett,Total,130,161,243,174,s,81.36%,-1.23%,-33.33%,500.00%
Rest of State,Total,Total,Walgett,Non Strata,130,161,243,174,s,81.36%,-1.23%,-33.33%,500.00%
Rest of State,Total,Total,Warren,Total,-,-,-,-,-,-,-,-,-
Rest of State,Total,Total,Warren,Non Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Total,Warrumbungle Shire,Total,143,200,250,211,43,17.65%,33.33%,-24.56%,65.38%
Rest of State,Total,Total,Warrumbungle Shire,Non Strata,143,200,250,211,43,17.65%,33.33%,-24.56%,65.38%
Rest of State,Total,Total,Weddin,Total,-,-,-,-,-,-,-,-,-
Rest of State,Total,Total,Weddin,Non Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Total,Wentworth,Total,221,329,420,340,s,-0.48%,-9.86%,11.54%,16.00%
Rest of State,Total,Total,Wentworth,Non Strata,221,329,420,340,s,-0.48%,-9.86%,11.54%,16.00%
Rest of State,Total,Total,Wingecarribee,Total,702,900,1280,1035,386,5.88%,18.50%,-17.87%,87.38%
Rest of State,Total,Total,Wingecarribee,Non Strata,742,950,1326,1073,348,2.98%,18.38%,-18.31%,93.33%
Rest of State,Total,Total,Wingecarribee,Strata,572,623,869,693,38,2.05%,12.16%,-13.64%,46.15%
Rest of State,Total,Total,Yass Valley,Total,526,750,996,775,72,3.81%,17.65%,-20.00%,80.00%
Rest of State,Total,Total,Yass Valley,Non Strata,526,750,996,775,72,3.81%,17.65%,-20.00%,80.00%
Rest of State,Total,Rest of State,Total,Total,340,485,690,560,"10,799",2.11%,12.79%,-11.65%,46.99%
Rest of State,Total,Rest of State,Total,Non Strata,345,500,710,575,"9,244",1.94%,13.52%,-11.51%,48.64%
Rest of State,Total,Rest of State,Total,Strata,318,435,579,472,"1,555",3.57%,11.54%,-12.49%,37.85%
Rest of State,Total,Rest of State,Albury,Total,299,380,500,403,361,2.56%,19.12%,-10.64%,34.70%
Rest of State,Total,Rest of State,Albury,Non Strata,340,413,530,443,285,-0.12%,19.02%,-14.67%,31.34%
Rest of State,Total,Rest of State,Albury,Strata,178,221,299,251,76,-4.74%,2.79%,8.57%,49.02%
Rest of State,Total,Rest of State,Armidale Regional,Total,296,355,455,403,179,-6.58%,7.58%,14.01%,110.59%
Rest of State,Total,Rest of State,Armidale Regional,Non Strata,310,372,459,408,154,-2.24%,12.58%,6.21%,81.18%
Rest of State,Total,Rest of State,Armidale Regional,Strata,200,269,355,373,s,-29.53%,,108.33%,
Rest of State,Total,Rest of State,Ballina,Total,635,795,1143,927,218,8.16%,20.00%,-22.42%,57.97%
Rest of State,Total,Rest of State,Ballina,Non Strata,729,930,1335,1074,139,9.41%,27.57%,-20.11%,43.30%
Rest of State,Total,Rest of State,Ballina,Strata,525,645,793,668,79,11.02%,26.47%,-26.17%,92.68%
Rest of State,Total,Rest of State,Balranald,Total,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Balranald,Non Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Bathurst Regional,Total,371,460,550,472,262,0.00%,2.79%,-9.34%,55.95%
Rest of State,Total,Rest of State,Bathurst Regional,Non Strata,399,475,571,495,234,-1.14%,0.53%,-7.87%,58.11%
Rest of State,Total,Rest of State,Bathurst Regional,Strata,232,259,336,281,s,-16.45%,-27.75%,-20.00%,40.00%
Rest of State,Total,Rest of State,Bega Valley,Total,428,580,711,584,260,6.42%,28.89%,-6.47%,80.56%
Rest of State,Total,Rest of State,Bega Valley,Non Strata,500,630,760,637,199,2.86%,27.02%,-8.72%,84.26%
Rest of State,Total,Rest of State,Bega Valley,Strata,315,395,490,411,61,7.19%,21.54%,1.67%,69.44%
Rest of State,Total,Rest of State,Bellingen,Total,501,665,868,716,54,3.10%,10.83%,-41.94%,20.00%
Rest of State,Total,Rest of State,Bellingen,Non Strata,528,678,900,727,52,-0.37%,11.75%,-38.82%,30.00%
Rest of State,Total,Rest of State,Bellingen,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Berrigan,Total,218,320,423,330,63,39.13%,42.86%,6.78%,53.66%
Rest of State,Total,Rest of State,Berrigan,Non Strata,220,323,426,335,60,38.41%,39.01%,3.45%,50.00%
Rest of State,Total,Rest of State,Berrigan,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Bland,Total,148,265,353,256,31,35.90%,3.92%,-11.43%,0.00%
Rest of State,Total,Rest of State,Bland,Non Strata,148,265,353,256,31,35.90%,3.92%,-11.43%,0.00%
Rest of State,Total,Rest of State,Blayney,Total,361,433,520,459,49,16.24%,21.97%,-9.26%,32.43%
Rest of State,Total,Rest of State,Blayney,Non Strata,361,433,520,459,49,16.24%,21.97%,-9.26%,36.11%
Rest of State,Total,Rest of State,Bogan,Total,139,172,195,180,s,18.62%,29.81%,114.29%,650.00%
Rest of State,Total,Rest of State,Bogan,Non Strata,139,172,195,180,s,18.62%,29.81%,114.29%,650.00%
Rest of State,Total,Rest of State,Bourke,Total,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Bourke,Non Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Brewarrina,Total,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Brewarrina,Non Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Broken Hill,Total,90,120,202,146,107,-2.44%,-4.00%,15.05%,50.70%
Rest of State,Total,Rest of State,Broken Hill,Non Strata,90,120,202,146,107,-2.44%,-4.00%,15.05%,50.70%
Rest of State,Total,Rest of State,Byron,Total,1000,1400,2100,1653,203,25.00%,58.19%,-32.78%,27.67%
Rest of State,Total,Rest of State,Byron,Non Strata,1198,1563,2425,1824,156,21.12%,58.63%,-26.07%,50.00%
Rest of State,Total,Rest of State,Byron,Strata,719,875,1168,1084,47,13.64%,30.60%,-48.35%,-14.55%
Rest of State,Total,Rest of State,Cabonne,Total,230,290,650,436,41,-22.67%,-22.04%,-36.92%,51.85%
Rest of State,Total,Rest of State,Cabonne,Non Strata,230,290,650,436,41,-22.67%,-22.04%,-36.92%,51.85%
Rest of State,Total,Rest of State,Carrathool,Total,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Carrathool,Non Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Central Darling,Total,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Central Darling,Non Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Clarence Valley,Total,353,455,630,509,274,3.41%,8.98%,-21.49%,18.10%
Rest of State,Total,Rest of State,Clarence Valley,Non Strata,355,465,635,516,241,5.68%,8.14%,-20.72%,21.72%
Rest of State,Total,Rest of State,Clarence Valley,Strata,349,421,505,459,33,-4.32%,14.87%,-26.67%,-2.94%
Rest of State,Total,Rest of State,Cobar,Total,140,194,229,204,s,29.00%,86.96%,-21.74%,0.00%
Rest of State,Total,Rest of State,Cobar,Non Strata,140,194,229,204,s,29.00%,86.96%,-21.74%,0.00%
Rest of State,Total,Rest of State,Coffs Harbour,Total,483,630,810,674,381,8.62%,23.53%,-16.08%,31.38%
Rest of State,Total,Rest of State,Coffs Harbour,Non Strata,589,710,876,755,276,10.08%,29.09%,-13.48%,35.96%
Rest of State,Total,Rest of State,Coffs Harbour,Strata,375,441,540,461,105,3.76%,19.84%,-22.22%,20.69%
Rest of State,Total,Rest of State,Coolamon,Total,136,210,280,204,s,-4.55%,-26.96%,-17.39%,35.71%
Rest of State,Total,Rest of State,Coolamon,Non Strata,136,210,280,204,s,-4.55%,-26.96%,-17.39%,35.71%
Rest of State,Total,Rest of State,Coonamble,Total,83,95,143,118,s,-2.06%,171.43%,18.18%,333.33%
Rest of State,Total,Rest of State,Coonamble,Non Strata,83,95,143,118,s,-2.06%,171.43%,18.18%,333.33%
Rest of State,Total,Rest of State,Gundagai,Total,223,275,426,325,66,-8.79%,8.91%,11.86%,26.92%
Rest of State,Total,Rest of State,Gundagai,Non Strata,220,280,430,326,65,-7.67%,2.94%,12.07%,32.65%
Rest of State,Total,Rest of State,Gundagai,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Cowra,Total,225,300,425,333,73,8.70%,7.14%,2.82%,97.30%
Rest of State,Total,Rest of State,Cowra,Non Strata,225,310,428,334,72,12.96%,10.54%,5.88%,94.59%
Rest of State,Total,Rest of State,Cowra,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Western Plains Regional,Total,310,385,485,427,269,6.94%,12.41%,-15.14%,41.58%
Rest of State,Total,Rest of State,Western Plains Regional,Non Strata,310,390,488,430,263,6.85%,11.84%,-14.05%,45.30%
Rest of State,Total,Rest of State,Western Plains Regional,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Dungog,Total,433,600,843,648,36,14.29%,20.00%,-40.00%,33.33%
Rest of State,Total,Rest of State,Dungog,Non Strata,433,600,843,648,36,14.29%,20.00%,-40.00%,33.33%
Rest of State,Total,Rest of State,Edward River,Total,209,275,369,317,58,22.22%,11.79%,-12.12%,56.76%
Rest of State,Total,Rest of State,Edward River,Non Strata,209,275,369,317,58,15.79%,11.79%,-6.45%,56.76%
Rest of State,Total,Rest of State,Eurobodalla,Total,470,615,750,627,331,3.54%,26.02%,-8.06%,53.24%
Rest of State,Total,Rest of State,Eurobodalla,Non Strata,520,649,777,653,280,4.18%,24.71%,-8.50%,65.68%
Rest of State,Total,Rest of State,Eurobodalla,Strata,346,450,555,486,51,7.53%,25.00%,-5.56%,8.51%
Rest of State,Total,Rest of State,Federation,Total,252,315,438,367,71,2.44%,8.62%,-24.47%,1.43%
Rest of State,Total,Rest of State,Federation,Non Strata,289,372,444,393,54,19.84%,23.83%,-33.33%,-5.26%
Rest of State,Total,Rest of State,Federation,Strata,196,240,300,286,s,-15.79%,-12.73%,30.77%,30.77%
Rest of State,Total,Rest of State,Forbes,Total,244,320,373,327,40,1.91%,12.28%,-28.57%,14.29%
Rest of State,Total,Rest of State,Forbes,Non Strata,244,320,373,327,40,1.91%,12.28%,-28.57%,14.29%
Rest of State,Total,Rest of State,Gilgandra,Total,150,187,248,191,s,38.33%,3.75%,12.50%,500.00%
Rest of State,Total,Rest of State,Gilgandra,Non Strata,150,187,248,191,s,38.33%,3.75%,12.50%,500.00%
Rest of State,Total,Rest of State,Glen Innes Severn,Total,180,250,326,269,52,4.17%,28.21%,-8.77%,57.58%
Rest of State,Total,Rest of State,Glen Innes Severn,Non Strata,180,250,326,269,52,4.17%,28.21%,-8.77%,57.58%
Rest of State,Total,Rest of State,Goulburn Mulwaree,Total,400,498,626,537,212,3.75%,19.88%,19.10%,94.50%
Rest of State,Total,Rest of State,Goulburn Mulwaree,Non Strata,405,500,625,537,193,3.09%,18.06%,18.40%,101.04%
Rest of State,Total,Rest of State,Goulburn Mulwaree,Strata,326,449,900,536,s,36.06%,20.70%,26.67%,46.15%
Rest of State,Total,Rest of State,Greater Hume Shire,Total,173,287,407,308,54,3.33%,23.33%,0.00%,35.00%
Rest of State,Total,Rest of State,Greater Hume Shire,Non Strata,173,287,407,308,54,3.33%,23.33%,0.00%,35.00%
Rest of State,Total,Rest of State,Griffith,Total,325,430,503,426,75,4.88%,20.79%,-7.41%,13.64%
Rest of State,Total,Rest of State,Griffith,Non Strata,325,439,517,431,70,4.84%,22.38%,-7.89%,9.38%
Rest of State,Total,Rest of State,Griffith,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Gunnedah,Total,215,300,385,311,61,-24.05%,-7.98%,3.39%,22.00%
Rest of State,Total,Rest of State,Gunnedah,Non Strata,215,300,390,313,57,-24.05%,-7.98%,-3.39%,14.00%
Rest of State,Total,Rest of State,Gunnedah,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Gwydir,Total,125,169,223,176,s,-26.52%,-14.43%,26.32%,140.00%
Rest of State,Total,Rest of State,Gwydir,Non Strata,125,169,223,176,s,-26.52%,-14.43%,26.32%,140.00%
Rest of State,Total,Rest of State,Hay,Total,130,172,220,179,s,27.41%,14.67%,54.55%,466.67%
Rest of State,Total,Rest of State,Hay,Non Strata,130,172,220,179,s,27.41%,14.67%,54.55%,466.67%
Rest of State,Total,Rest of State,Hilltops,Total,230,304,392,331,115,-1.62%,12.59%,-14.18%,88.52%
Rest of State,Total,Rest of State,Hilltops,Non Strata,236,310,398,335,110,-2.97%,14.81%,-12.70%,80.33%
Rest of State,Total,Rest of State,Hilltops,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Inverell,Total,243,299,391,340,87,4.00%,1.70%,-6.45%,97.73%
Rest of State,Total,Rest of State,Inverell,Non Strata,241,300,391,340,86,2.83%,1.87%,-6.52%,95.45%
Rest of State,Total,Rest of State,Inverell,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Junee,Total,230,300,358,308,s,19.80%,0.17%,-24.14%,15.79%
Rest of State,Total,Rest of State,Junee,Non Strata,230,300,358,308,s,19.80%,0.17%,-24.14%,15.79%
Rest of State,Total,Rest of State,Kempsey,Total,319,450,604,489,136,2.16%,25.30%,-3.55%,7.94%
Rest of State,Total,Rest of State,Kempsey,Non Strata,350,475,644,513,121,7.95%,27.35%,-5.47%,12.04%
Rest of State,Total,Rest of State,Kempsey,Strata,253,280,342,300,s,-33.33%,-7.59%,15.38%,-16.67%
Rest of State,Total,Rest of State,Kyogle,Total,276,360,480,387,55,2.86%,5.88%,-14.06%,120.00%
Rest of State,Total,Rest of State,Kyogle,Non Strata,273,365,488,388,54,3.85%,7.21%,-11.48%,116.00%
Rest of State,Total,Rest of State,Kyogle,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Lachlan,Total,186,235,281,236,s,14.63%,62.07%,0.00%,166.67%
Rest of State,Total,Rest of State,Lachlan,Non Strata,186,235,281,236,s,14.63%,62.07%,0.00%,166.67%
Rest of State,Total,Rest of State,Leeton,Total,176,248,297,255,63,3.33%,-8.49%,0.00%,65.79%
Rest of State,Total,Rest of State,Leeton,Non Strata,187,252,303,263,56,2.34%,-10.00%,0.00%,51.35%
Rest of State,Total,Rest of State,Leeton,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Lismore,Total,412,510,635,544,213,10.87%,24.39%,-12.70%,19.66%
Rest of State,Total,Rest of State,Lismore,Non Strata,440,530,662,565,193,12.77%,22.69%,-13.84%,27.81%
Rest of State,Total,Rest of State,Lismore,Strata,304,361,386,339,s,10.50%,10.92%,0.00%,-25.93%
Rest of State,Total,Rest of State,Lithgow,Total,294,360,478,411,131,-6.01%,3.15%,24.76%,81.94%
Rest of State,Total,Rest of State,Lithgow,Non Strata,294,360,478,411,131,-7.10%,3.15%,27.18%,81.94%
Rest of State,Total,Rest of State,Liverpool Plains,Total,157,244,294,240,50,-1.68%,13.64%,-13.79%,51.52%
Rest of State,Total,Rest of State,Liverpool Plains,Non Strata,157,244,294,240,50,-1.68%,13.64%,-13.79%,51.52%
Rest of State,Total,Rest of State,Lockhart,Total,127,160,250,215,s,-11.11%,-11.11%,44.44%,550.00%
Rest of State,Total,Rest of State,Lockhart,Non Strata,127,160,250,215,s,-11.11%,-11.11%,44.44%,550.00%
Rest of State,Total,Rest of State,Mid-Coast,Total,400,513,665,543,734,3.54%,18.09%,-6.14%,36.69%
Rest of State,Total,Rest of State,Mid-Coast,Non Strata,420,550,690,570,576,3.68%,22.11%,-8.43%,34.27%
Rest of State,Total,Rest of State,Mid-Coast,Strata,349,428,532,446,158,7.14%,11.18%,3.27%,46.30%
Rest of State,Total,Rest of State,Mid-Western Regional,Total,385,450,575,484,143,-3.23%,9.76%,-30.92%,20.17%
Rest of State,Total,Rest of State,Mid-Western Regional,Non Strata,389,460,583,489,138,-5.30%,10.65%,-28.87%,23.21%
Rest of State,Total,Rest of State,Mid-Western Regional,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Total,130,265,389,267,53,21.14%,28.02%,-24.29%,70.97%
Rest of State,Total,Rest of State,Moree Plains,Non Strata,130,265,389,267,53,15.22%,27.10%,-20.90%,76.67%
Rest of State,Total,Rest of State,Murray River,Total,266,373,558,444,72,-1.65%,-4.49%,-21.74%,53.19%
Rest of State,Total,Rest of State,Murray River,Non Strata,313,405,577,472,63,-2.88%,1.25%,-14.86%,65.79%
Rest of State,Total,Rest of State,Murray River,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Total,151,203,285,215,s,2.27%,1.25%,-11.11%,23.08%
Rest of State,Total,Rest of State,Murrumbidgee,Non Strata,151,203,285,215,s,2.27%,1.25%,-11.11%,23.08%
Rest of State,Total,Rest of State,Muswellbrook,Total,291,335,420,358,127,6.35%,8.06%,7.63%,73.97%
Rest of State,Total,Rest of State,Muswellbrook,Non Strata,295,340,422,363,114,6.42%,8.80%,5.56%,67.65%
Rest of State,Total,Rest of State,Muswellbrook,Strata,252,300,333,310,s,78.27%,-0.17%,30.00%,160.00%
Rest of State,Total,Rest of State,Nambucca,Total,385,500,680,541,93,-1.96%,16.28%,-6.06%,16.25%
Rest of State,Total,Rest of State,Nambucca,Non Strata,401,525,690,551,87,2.34%,20.69%,-6.45%,17.57%
Rest of State,Total,Rest of State,Nambucca,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Total,240,328,396,339,58,-6.43%,63.75%,-10.77%,114.81%
Rest of State,Total,Rest of State,Narrabri,Non Strata,236,308,379,313,54,-12.14%,53.75%,-16.92%,100.00%
Rest of State,Total,Rest of State,Narrabri,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Total,178,230,266,239,s,24.05%,74.52%,-23.08%,50.00%
Rest of State,Total,Rest of State,Narrandera,Non Strata,178,230,266,239,s,24.05%,74.52%,-23.08%,50.00%
Rest of State,Total,Rest of State,Narromine,Total,215,273,385,322,s,1.87%,-14.17%,-39.47%,27.78%
Rest of State,Total,Rest of State,Narromine,Non Strata,215,273,385,322,s,1.87%,-14.17%,-39.47%,27.78%
Rest of State,Total,Rest of State,Oberon,Total,350,422,475,425,s,-9.25%,-2.43%,-43.24%,110.00%
Rest of State,Total,Rest of State,Oberon,Non Strata,350,422,475,425,s,-15.60%,-2.43%,-38.24%,110.00%
Rest of State,Total,Rest of State,Orange,Total,418,530,659,573,226,7.07%,21.84%,-25.41%,35.33%
Rest of State,Total,Rest of State,Orange,Non Strata,450,535,671,594,207,5.42%,20.90%,-26.07%,30.19%
Rest of State,Total,Rest of State,Orange,Strata,279,345,395,345,s,31.68%,22.78%,-17.39%,137.50%
Rest of State,Total,Rest of State,Parkes,Total,219,254,388,292,82,-16.99%,-16.72%,10.81%,74.47%
Rest of State,Total,Rest of State,Parkes,Non Strata,219,254,388,292,82,-16.99%,-16.72%,10.81%,74.47%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Total,489,609,750,632,478,7.70%,12.89%,-15.25%,27.13%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Non Strata,560,659,795,689,345,4.60%,15.36%,-13.32%,21.48%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Strata,395,455,558,482,133,4.12%,5.08%,-19.88%,44.57%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Total,469,645,814,675,263,5.74%,10.16%,-32.22%,5.20%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Non Strata,635,742,911,798,181,2.49%,8.80%,-34.42%,0.00%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Strata,305,392,500,405,82,-2.00%,12.00%,-26.79%,18.84%
Rest of State,Total,Rest of State,Richmond Valley,Total,325,395,545,441,112,11.27%,14.49%,-17.65%,19.15%
Rest of State,Total,Rest of State,Richmond Valley,Non Strata,335,395,553,449,103,8.52%,19.70%,-11.21%,27.16%
Rest of State,Total,Rest of State,Richmond Valley,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Total,550,690,875,761,789,9.52%,25.23%,-2.35%,68.95%
Rest of State,Total,Rest of State,Shoalhaven,Non Strata,560,700,895,781,721,7.69%,22.81%,-0.41%,70.05%
Rest of State,Total,Rest of State,Shoalhaven,Strata,399,533,686,546,68,9.79%,14.27%,-19.05%,58.14%
Rest of State,Total,Rest of State,Singleton,Total,380,449,567,498,157,0.90%,6.27%,16.30%,55.45%
Rest of State,Total,Rest of State,Singleton,Non Strata,393,470,623,522,139,1.08%,5.62%,15.83%,59.77%
Rest of State,Total,Rest of State,Singleton,Strata,249,322,357,314,s,26.18%,22.34%,20.00%,28.57%
Rest of State,Total,Rest of State,Snowy Monaro Regional,Total,353,460,605,515,119,12.33%,37.31%,-9.85%,40.00%
Rest of State,Total,Rest of State,Snowy Monaro Regional,Non Strata,345,450,675,524,97,11.11%,40.63%,-10.19%,44.78%
Rest of State,Total,Rest of State,Snowy Monaro Regional,Strata,388,475,558,472,s,4.98%,28.50%,-8.33%,22.22%
Rest of State,Total,Rest of State,Snowy Valleys,Total,222,288,360,301,104,4.55%,2.77%,2.97%,126.09%
Rest of State,Total,Rest of State,Snowy Valleys,Non Strata,221,290,360,302,103,1.65%,9.02%,7.29%,145.24%
Rest of State,Total,Rest of State,Snowy Valleys,Strata,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Tamworth Regional,Total,293,375,493,408,351,2.74%,4.90%,-5.65%,82.81%
Rest of State,Total,Rest of State,Tamworth Regional,Non Strata,305,380,500,417,327,0.93%,4.11%,-5.49%,81.67%
Rest of State,Total,Rest of State,Tamworth Regional,Strata,208,239,319,284,s,-19.12%,-24.74%,-7.69%,100.00%
Rest of State,Total,Rest of State,Temora,Total,225,315,375,303,37,9.76%,1.94%,27.59%,85.00%
Rest of State,Total,Rest of State,Temora,Non Strata,225,315,375,303,37,9.76%,1.94%,27.59%,85.00%
Rest of State,Total,Rest of State,Tenterfield,Total,239,290,388,309,42,4.69%,11.54%,-4.55%,90.91%
Rest of State,Total,Rest of State,Tenterfield,Non Strata,250,290,390,312,41,4.69%,11.54%,-6.82%,86.36%
